,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_title
95,0.646,0.77,2,-6.596,0,0.226,0.00249,0.0,0.0715,0.681,99.165,audio_features,5IVuqXILoxVWvWEPm82Jxr,spotify:track:5IVuqXILoxVWvWEPm82Jxr,https://api.spotify.com/v1/tracks/5IVuqXILoxVWvWEPm82Jxr,https://api.spotify.com/v1/audio-analysis/5IVuqXILoxVWvWEPm82Jxr,236133,4,Crazy In Love (feat. Jay-Z)
96,0.608,0.86,5,-5.324,0,0.0554,0.0991,0.0,0.262,0.437,127.075,audio_features,1NpW5kyvO4XrNJ3rnfcNy3,spotify:track:1NpW5kyvO4XrNJ3rnfcNy3,https://api.spotify.com/v1/tracks/1NpW5kyvO4XrNJ3rnfcNy3,https://api.spotify.com/v1/audio-analysis/1NpW5kyvO4XrNJ3rnfcNy3,232947,4,Wild Ones (feat. Sia)
97,0.835,0.687,5,-3.18,1,0.184,0.101,0.0,0.132,0.828,94.059,audio_features,0uqPG793dkDDN7sCUJJIVC,spotify:track:0uqPG793dkDDN7sCUJJIVC,https://api.spotify.com/v1/tracks/0uqPG793dkDDN7sCUJJIVC,https://api.spotify.com/v1/audio-analysis/0uqPG793dkDDN7sCUJJIVC,272533,4,Where Is The Love?
98,0.82,0.731,9,-6.02,1,0.159,0.0133,1.94e-05,0.131,0.793,127.076,audio_features,5RzFJd6W40SDTyZkX6xx45,spotify:track:5RzFJd6W40SDTyZkX6xx45,https://api.spotify.com/v1/tracks/5RzFJd6W40SDTyZkX6xx45,https://api.spotify.com/v1/audio-analysis/5RzFJd6W40SDTyZkX6xx45,237120,4,I Know You Want Me (Calle Ocho)
99,0.854,0.71,4,-6.32,0,0.0793,0.0113,8.72e-05,0.166,0.818,106.894,audio_features,2oTDOIAdsxPTE7yAp4YOcv,spotify:track:2oTDOIAdsxPTE7yAp4YOcv,https://api.spotify.com/v1/tracks/2oTDOIAdsxPTE7yAp4YOcv,https://api.spotify.com/v1/audio-analysis/2oTDOIAdsxPTE7yAp4YOcv,214947,4,Jump Around
0,0.592,0.54,8,-11.249,0,0.0587,0.692,0.00187,0.0965,0.354,111.955,audio_features,5RhWszHMSKzb7KiXk4Ae0M,spotify:track:5RhWszHMSKzb7KiXk4Ae0M,https://api.spotify.com/v1/tracks/5RhWszHMSKzb7KiXk4Ae0M,https://api.spotify.com/v1/audio-analysis/5RhWszHMSKzb7KiXk4Ae0M,252027,4,One Last Kiss
1,0.627,0.883,7,-4.62,1,0.0486,0.0118,0.0,0.0972,0.467,130.062,audio_features,2gjS4IldZTcJOntzMW6oh8,spotify:track:2gjS4IldZTcJOntzMW6oh8,https://api.spotify.com/v1/tracks/2gjS4IldZTcJOntzMW6oh8,https://api.spotify.com/v1/audio-analysis/2gjS4IldZTcJOntzMW6oh8,311720,4,世界は恋に落ちている
2,0.681,0.936,2,-3.551,1,0.0471,0.259,1.53e-06,0.32,0.924,121.986,audio_features,37yHxMij3cpN8SdO915LUI,spotify:track:37yHxMij3cpN8SdO915LUI,https://api.spotify.com/v1/tracks/37yHxMij3cpN8SdO915LUI,https://api.spotify.com/v1/audio-analysis/37yHxMij3cpN8SdO915LUI,285187,4,恋するフォーチュンクッキー
3,0.422,0.912,5,-3.806,0,0.0799,0.168,0.0,0.129,0.616,97.573,audio_features,00pEXGlxPsGuLm4NqcVJzt,spotify:track:00pEXGlxPsGuLm4NqcVJzt,https://api.spotify.com/v1/tracks/00pEXGlxPsGuLm4NqcVJzt,https://api.spotify.com/v1/audio-analysis/00pEXGlxPsGuLm4NqcVJzt,256933,4,海色
4,0.447,0.983,5,-2.281,1,0.268,0.0157,0.0,0.276,0.317,179.072,audio_features,3mScGCzxiXA9OaHdBeuk7O,spotify:track:3mScGCzxiXA9OaHdBeuk7O,https://api.spotify.com/v1/tracks/3mScGCzxiXA9OaHdBeuk7O,https://api.spotify.com/v1/audio-analysis/3mScGCzxiXA9OaHdBeuk7O,248947,4,crossing field
