,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_title,popularity_scores,genre
10,0.829,0.582,7,-5.721,0,0.0415,0.525,0.0,0.0759,0.51,108.028,audio_features,6eSU1exzDvBEXmBRxspeh5,spotify:track:6eSU1exzDvBEXmBRxspeh5,https://api.spotify.com/v1/tracks/6eSU1exzDvBEXmBRxspeh5,https://api.spotify.com/v1/audio-analysis/6eSU1exzDvBEXmBRxspeh5,109373,4,Shots,65,melodic rap
11,0.879,0.498,4,-6.027,0,0.18,0.239,0.0,0.0967,0.405,106.044,audio_features,4EivmOT13NMpNSfTKn9p4s,spotify:track:4EivmOT13NMpNSfTKn9p4s,https://api.spotify.com/v1/tracks/4EivmOT13NMpNSfTKn9p4s,https://api.spotify.com/v1/audio-analysis/4EivmOT13NMpNSfTKn9p4s,163173,4,Like That (feat. Gucci Mane),74,dance pop
12,0.796,0.683,10,-5.165,0,0.277,0.0111,2.58e-06,0.126,0.737,173.852,audio_features,341lTIxmhybbQsgydwJiFx,spotify:track:341lTIxmhybbQsgydwJiFx,https://api.spotify.com/v1/tracks/341lTIxmhybbQsgydwJiFx,https://api.spotify.com/v1/audio-analysis/341lTIxmhybbQsgydwJiFx,141123,3,Stuntin' On You (feat. DaBaby),64,cali rap
13,0.586,0.418,10,-8.085,1,0.299,0.0897,0.0,0.0519,0.649,98.442,audio_features,1PkP6JICvGNQkmrBpazdWl,spotify:track:1PkP6JICvGNQkmrBpazdWl,https://api.spotify.com/v1/tracks/1PkP6JICvGNQkmrBpazdWl,https://api.spotify.com/v1/audio-analysis/1PkP6JICvGNQkmrBpazdWl,136438,5,Hold On,28,chicago rap
14,0.789,0.627,4,-6.762,1,0.42,0.253,6.87e-06,0.153,0.873,146.854,audio_features,6eJsdhKW0AAao9tuSP4ThB,spotify:track:6eJsdhKW0AAao9tuSP4ThB,https://api.spotify.com/v1/tracks/6eJsdhKW0AAao9tuSP4ThB,https://api.spotify.com/v1/audio-analysis/6eJsdhKW0AAao9tuSP4ThB,121274,4,You Say,37,
15,0.763,0.524,2,-4.999,0,0.206,0.611,0.0,0.115,0.534,109.982,audio_features,7zJsYFPSXjvEYrV7h5G81v,spotify:track:7zJsYFPSXjvEYrV7h5G81v,https://api.spotify.com/v1/tracks/7zJsYFPSXjvEYrV7h5G81v,https://api.spotify.com/v1/audio-analysis/7zJsYFPSXjvEYrV7h5G81v,296727,4,HeartBreaks & Robberies,32,
16,0.775,0.707,10,-5.339,0,0.152,0.397,0.0,0.874,0.78,104.979,audio_features,3gJDgenxLephg09x86IxPs,spotify:track:3gJDgenxLephg09x86IxPs,https://api.spotify.com/v1/tracks/3gJDgenxLephg09x86IxPs,https://api.spotify.com/v1/audio-analysis/3gJDgenxLephg09x86IxPs,244198,4,TEMPTATION,69,conscious hip hop
17,0.734,0.506,11,-8.021,0,0.0364,0.0338,0.0,0.116,0.174,99.997,audio_features,5LuuUXI3Msm4L2iUNHi3JB,spotify:track:5LuuUXI3Msm4L2iUNHi3JB,https://api.spotify.com/v1/tracks/5LuuUXI3Msm4L2iUNHi3JB,https://api.spotify.com/v1/audio-analysis/5LuuUXI3Msm4L2iUNHi3JB,186000,4,Life is Wet,53,korean r&b
18,0.921,0.641,1,-6.491,1,0.166,0.0274,0.0,0.0645,0.828,144.986,audio_features,2OPxM2L3KtuehqY24vTMGs,spotify:track:2OPxM2L3KtuehqY24vTMGs,https://api.spotify.com/v1/tracks/2OPxM2L3KtuehqY24vTMGs,https://api.spotify.com/v1/audio-analysis/2OPxM2L3KtuehqY24vTMGs,203840,4,Heart Mind,71,florida rap
19,0.816,0.621,0,-6.352,1,0.181,0.18,0.0,0.085,0.403,97.015,audio_features,3VN7XvP708u6V9U0CxOlzi,spotify:track:3VN7XvP708u6V9U0CxOlzi,https://api.spotify.com/v1/tracks/3VN7XvP708u6V9U0CxOlzi,https://api.spotify.com/v1/audio-analysis/3VN7XvP708u6V9U0CxOlzi,188041,4,Birthday (feat. Monty),53,dance pop
20,0.389,0.768,1,-4.765,1,0.256,0.038,0.0,0.119,0.334,90.146,audio_features,1EWkw4Fa6IlnsAihLUlFFM,spotify:track:1EWkw4Fa6IlnsAihLUlFFM,https://api.spotify.com/v1/tracks/1EWkw4Fa6IlnsAihLUlFFM,https://api.spotify.com/v1/audio-analysis/1EWkw4Fa6IlnsAihLUlFFM,183567,4,WRONG (feat. Lil Mosey),65,australian hip hop
21,0.737,0.643,1,-8.423,1,0.0327,0.115,3.29e-05,0.136,0.67,96.003,audio_features,3oFeq8brHTvOe0FPgEBFl2,spotify:track:3oFeq8brHTvOe0FPgEBFl2,https://api.spotify.com/v1/tracks/3oFeq8brHTvOe0FPgEBFl2,https://api.spotify.com/v1/audio-analysis/3oFeq8brHTvOe0FPgEBFl2,160227,4,So Fast,47,melodic rap
22,0.743,0.604,8,-8.688,0,0.0674,0.415,0.0,0.27,0.602,100.895,audio_features,4XWi6uj1ZYo5bA7aGxc0g8,spotify:track:4XWi6uj1ZYo5bA7aGxc0g8,https://api.spotify.com/v1/tracks/4XWi6uj1ZYo5bA7aGxc0g8,https://api.spotify.com/v1/audio-analysis/4XWi6uj1ZYo5bA7aGxc0g8,161733,4,Bands Out Tha Roof,46,melodic rap
23,0.854,0.554,8,-4.684,1,0.172,0.769,1.84e-06,0.0749,0.272,142.069,audio_features,5r7WvQtyPfy1xch5zMgGRp,spotify:track:5r7WvQtyPfy1xch5zMgGRp,https://api.spotify.com/v1/tracks/5r7WvQtyPfy1xch5zMgGRp,https://api.spotify.com/v1/audio-analysis/5r7WvQtyPfy1xch5zMgGRp,163121,4,Behind Barz - Bonus,60,canadian hip hop
24,0.597,0.645,0,-5.356,0,0.0588,0.457,0.0,0.11,0.55,128.258,audio_features,1rLWsLY98u9hcWePdfN2y5,spotify:track:1rLWsLY98u9hcWePdfN2y5,https://api.spotify.com/v1/tracks/1rLWsLY98u9hcWePdfN2y5,https://api.spotify.com/v1/audio-analysis/1rLWsLY98u9hcWePdfN2y5,209051,4,Notice Me,58,melodic rap
25,0.828,0.698,1,-3.808,1,0.137,0.262,0.0,0.089,0.732,131.9,audio_features,56y48l3RslFer22WytV6KU,spotify:track:56y48l3RslFer22WytV6KU,https://api.spotify.com/v1/tracks/56y48l3RslFer22WytV6KU,https://api.spotify.com/v1/audio-analysis/56y48l3RslFer22WytV6KU,198505,4,Permanent Scar (feat. Young Thug and Quando Rondo),48,baton rouge rap
26,0.806,0.626,1,-8.659,1,0.0803,0.0622,0.0,0.106,0.389,126.029,audio_features,2sslt79Mt6xtu8nspYgIcB,spotify:track:2sslt79Mt6xtu8nspYgIcB,https://api.spotify.com/v1/tracks/2sslt79Mt6xtu8nspYgIcB,https://api.spotify.com/v1/audio-analysis/2sslt79Mt6xtu8nspYgIcB,129827,4,DIRTY DIANA,53,atl hip hop
27,0.68,0.589,10,-7.275,1,0.249,0.226,0.0,0.133,0.548,82.484,audio_features,4r98f87mBfMAfdQvUImksB,spotify:track:4r98f87mBfMAfdQvUImksB,https://api.spotify.com/v1/tracks/4r98f87mBfMAfdQvUImksB,https://api.spotify.com/v1/audio-analysis/4r98f87mBfMAfdQvUImksB,118720,4,Miss Me,46,melodic rap
28,0.732,0.459,9,-10.524,0,0.193,0.144,0.0,0.0818,0.257,133.067,audio_features,5jPAwLGMs0cCKStblX1Jii,spotify:track:5jPAwLGMs0cCKStblX1Jii,https://api.spotify.com/v1/tracks/5jPAwLGMs0cCKStblX1Jii,https://api.spotify.com/v1/audio-analysis/5jPAwLGMs0cCKStblX1Jii,159573,4,Last Call,44,melodic rap
29,0.532,0.593,11,-7.859,0,0.199,0.413,0.0,0.279,0.739,143.858,audio_features,6E6RS1uUDxxYiWMmEKrxnh,spotify:track:6E6RS1uUDxxYiWMmEKrxnh,https://api.spotify.com/v1/tracks/6E6RS1uUDxxYiWMmEKrxnh,https://api.spotify.com/v1/audio-analysis/6E6RS1uUDxxYiWMmEKrxnh,166806,5,Rover (feat. Lil Tecca),66,afroswing
30,0.657,0.48,2,-9.059,1,0.0519,0.359,0.0,0.497,0.315,100.043,audio_features,4EBR01Mp4tjpKMYjKNpj2f,spotify:track:4EBR01Mp4tjpKMYjKNpj2f,https://api.spotify.com/v1/tracks/4EBR01Mp4tjpKMYjKNpj2f,https://api.spotify.com/v1/audio-analysis/4EBR01Mp4tjpKMYjKNpj2f,259413,4,Lil Baby,45,cali rap
31,0.692,0.464,9,-7.004,0,0.0422,0.526,0.0,0.106,0.484,96.899,audio_features,5zYmGeAGeqM4pA4jb64NHI,spotify:track:5zYmGeAGeqM4pA4jb64NHI,https://api.spotify.com/v1/tracks/5zYmGeAGeqM4pA4jb64NHI,https://api.spotify.com/v1/audio-analysis/5zYmGeAGeqM4pA4jb64NHI,208823,4,Slide (with Gunna),53,new jersey underground rap
32,0.695,0.642,1,-6.13,0,0.194,0.238,0.0,0.359,0.316,128.022,audio_features,4GurWpxvH3NoWz9f9wirPq,spotify:track:4GurWpxvH3NoWz9f9wirPq,https://api.spotify.com/v1/tracks/4GurWpxvH3NoWz9f9wirPq,https://api.spotify.com/v1/audio-analysis/4GurWpxvH3NoWz9f9wirPq,209848,4,Wet (She Got That…),54,arkansas hip hop
33,0.88,0.609,10,-7.207,0,0.253,0.0682,1.97e-05,0.112,0.323,149.929,audio_features,3Lrk83MoHWXttj3ux8qhZ3,spotify:track:3Lrk83MoHWXttj3ux8qhZ3,https://api.spotify.com/v1/tracks/3Lrk83MoHWXttj3ux8qhZ3,https://api.spotify.com/v1/audio-analysis/3Lrk83MoHWXttj3ux8qhZ3,206400,4,SAME HANDS (feat. Lil Durk),38,alternative r&b
34,0.734,0.563,0,-6.464,1,0.314,0.0182,0.0,0.0981,0.371,203.905,audio_features,1ylymaTbSjggG7TaItdRkI,spotify:track:1ylymaTbSjggG7TaItdRkI,https://api.spotify.com/v1/tracks/1ylymaTbSjggG7TaItdRkI,https://api.spotify.com/v1/audio-analysis/1ylymaTbSjggG7TaItdRkI,151030,4,Out On Bail,51,cali rap
35,0.778,0.662,8,-6.081,0,0.308,0.187,0.0,0.116,0.571,149.935,audio_features,7IECs9d4Rrlpa7tiHOCE1w,spotify:track:7IECs9d4Rrlpa7tiHOCE1w,https://api.spotify.com/v1/tracks/7IECs9d4Rrlpa7tiHOCE1w,https://api.spotify.com/v1/audio-analysis/7IECs9d4Rrlpa7tiHOCE1w,192000,4,My Window (feat. Lil Wayne),61,baton rouge rap
36,0.378,0.502,5,-5.298,1,0.117,0.237,0.0,0.0804,0.0729,179.738,audio_features,3iMv0Hm9E3GNmQNXuYYnxY,spotify:track:3iMv0Hm9E3GNmQNXuYYnxY,https://api.spotify.com/v1/tracks/3iMv0Hm9E3GNmQNXuYYnxY,https://api.spotify.com/v1/audio-analysis/3iMv0Hm9E3GNmQNXuYYnxY,219000,4,A Woman,47,canadian hip hop
37,0.823,0.703,8,-2.691,1,0.298,0.0161,1.35e-06,0.294,0.26,178.043,audio_features,50I7FNN2rl2rWiNwGxS146,spotify:track:50I7FNN2rl2rWiNwGxS146,https://api.spotify.com/v1/tracks/50I7FNN2rl2rWiNwGxS146,https://api.spotify.com/v1/audio-analysis/50I7FNN2rl2rWiNwGxS146,194214,4,No Opp Left Behind,65,atl hip hop
38,0.374,0.577,1,-7.085,1,0.302,0.0279,5.6e-06,0.562,0.0658,184.201,audio_features,4SVTus5gJc5cfkFZ8ELK1p,spotify:track:4SVTus5gJc5cfkFZ8ELK1p,https://api.spotify.com/v1/tracks/4SVTus5gJc5cfkFZ8ELK1p,https://api.spotify.com/v1/audio-analysis/4SVTus5gJc5cfkFZ8ELK1p,179976,4,Years Go By,54,kentucky hip hop
39,0.808,0.607,4,-9.625,0,0.311,0.224,0.0,0.0657,0.358,99.921,audio_features,5pfc6IfuLHk69BTVy82onc,spotify:track:5pfc6IfuLHk69BTVy82onc,https://api.spotify.com/v1/tracks/5pfc6IfuLHk69BTVy82onc,https://api.spotify.com/v1/audio-analysis/5pfc6IfuLHk69BTVy82onc,165415,4,Hate On Me,46,cali rap
40,0.88,0.436,6,-10.07,1,0.108,0.184,0.0,0.278,0.501,124.063,audio_features,3RniWkfPXJGxxM4IeBBRCe,spotify:track:3RniWkfPXJGxxM4IeBBRCe,https://api.spotify.com/v1/tracks/3RniWkfPXJGxxM4IeBBRCe,https://api.spotify.com/v1/audio-analysis/3RniWkfPXJGxxM4IeBBRCe,216954,4,Surgery,43,cali rap
41,0.775,0.566,11,-6.661,1,0.283,0.0381,0.000341,0.127,0.479,160.351,audio_features,11XegnWeJHBDtj9IsNwngu,spotify:track:11XegnWeJHBDtj9IsNwngu,https://api.spotify.com/v1/tracks/11XegnWeJHBDtj9IsNwngu,https://api.spotify.com/v1/audio-analysis/11XegnWeJHBDtj9IsNwngu,231831,4,Said N Done,61,atl hip hop
42,0.63,0.399,5,-9.869,0,0.178,0.105,0.174,0.234,0.0657,183.016,audio_features,1wGnp7ejkCuXRsehXx0PNP,spotify:track:1wGnp7ejkCuXRsehXx0PNP,https://api.spotify.com/v1/tracks/1wGnp7ejkCuXRsehXx0PNP,https://api.spotify.com/v1/audio-analysis/1wGnp7ejkCuXRsehXx0PNP,214192,3,RIP Luv,70,atl hip hop
43,0.825,0.733,1,-5.625,0,0.0969,0.349,0.0,0.112,0.62,97.974,audio_features,3ruoIF2UnoXdzK8mR61ebq,spotify:track:3ruoIF2UnoXdzK8mR61ebq,https://api.spotify.com/v1/tracks/3ruoIF2UnoXdzK8mR61ebq,https://api.spotify.com/v1/audio-analysis/3ruoIF2UnoXdzK8mR61ebq,190331,4,Rich Nigga Shit (feat. Young Thug),77,atl hip hop
44,0.635,0.793,10,-4.333,0,0.0322,0.000647,0.747,0.113,0.281,77.594,audio_features,3CDVMejYHnB1SkEEx0T1N4,spotify:track:3CDVMejYHnB1SkEEx0T1N4,https://api.spotify.com/v1/tracks/3CDVMejYHnB1SkEEx0T1N4,https://api.spotify.com/v1/audio-analysis/3CDVMejYHnB1SkEEx0T1N4,201856,4,Many Men,69,atl hip hop
45,0.836,0.612,8,-9.781,0,0.394,0.093,0.0,0.102,0.39,166.087,audio_features,6tNnz0d4tijmTed5YB434Q,spotify:track:6tNnz0d4tijmTed5YB434Q,https://api.spotify.com/v1/tracks/6tNnz0d4tijmTed5YB434Q,https://api.spotify.com/v1/audio-analysis/6tNnz0d4tijmTed5YB434Q,151704,4,Jealous,51,cali rap
46,0.754,0.634,1,-6.443,1,0.0853,0.0178,0.0,0.114,0.21,139.995,audio_features,6ywJZ4wOD6jcWREeIMkJzg,spotify:track:6ywJZ4wOD6jcWREeIMkJzg,https://api.spotify.com/v1/tracks/6ywJZ4wOD6jcWREeIMkJzg,https://api.spotify.com/v1/audio-analysis/6ywJZ4wOD6jcWREeIMkJzg,205788,3,Worth It,45,baton rouge rap
47,0.694,0.851,5,-4.966,0,0.068,0.0645,0.0,0.116,0.424,153.947,audio_features,4MAHqzuljxMPl1ibUrC57Y,spotify:track:4MAHqzuljxMPl1ibUrC57Y,https://api.spotify.com/v1/tracks/4MAHqzuljxMPl1ibUrC57Y,https://api.spotify.com/v1/audio-analysis/4MAHqzuljxMPl1ibUrC57Y,199840,4,Tweakin,52,pop r&b
48,0.833,0.614,2,-4.842,1,0.17,0.13,0.0,0.0858,0.389,100.03,audio_features,1GqluCmHkW69FPpe8OlnB5,spotify:track:1GqluCmHkW69FPpe8OlnB5,https://api.spotify.com/v1/tracks/1GqluCmHkW69FPpe8OlnB5,https://api.spotify.com/v1/audio-analysis/1GqluCmHkW69FPpe8OlnB5,198608,4,Bad Vibe (feat. A Boogie Wit da Hoodie & 2 Chainz),56,melodic rap
49,0.852,0.498,7,-7.646,1,0.222,0.365,0.0,0.123,0.38,125.013,audio_features,1MQHo2SR3oN6a9lqxhyH6e,spotify:track:1MQHo2SR3oN6a9lqxhyH6e,https://api.spotify.com/v1/tracks/1MQHo2SR3oN6a9lqxhyH6e,https://api.spotify.com/v1/audio-analysis/1MQHo2SR3oN6a9lqxhyH6e,163318,4,Part of the Plan,42,arkansas hip hop
